Season,RaceNumber,Driver,Team,FP1,FP2,FP3,Qualifying,SprintShootout,Sprint,Race
2018,13,Romain Grosjean,Haas F1 Team,12.0,12.0,12.0,5.0,,,7.0
2018,13,Charles Leclerc,Sauber,13.0,10.0,7.0,13.0,,,18.0
2018,13,Marcus Ericsson,Sauber,14.0,9.0,11.0,14.0,,,10.0
2018,13,Brendon Hartley,Toro Rosso,15.0,17.0,16.0,12.0,,,14.0
2018,13,Lance Stroll,Williams,16.0,19.0,17.0,19.0,,,13.0
2018,13,Kevin Magnussen,Haas F1 Team,17.0,14.0,14.0,9.0,,,8.0
2018,13,Lando Norris,McLaren,18.0,,,,,,
2018,13,Sergey Sirotkin,Williams,19.0,18.0,18.0,18.0,,,12.0
2018,13,Stoffel Vandoorne,McLaren,20.0,20.0,20.0,20.0,,,15.0
2018,13,Fernando Alonso,McLaren,,16.0,19.0,17.0,,,19.0
2018,14,Sergio Perez,Racing Point,1.0,8.0,11.0,16.0,,,7.0
2018,14,Kimi Räikkönen,Ferrari,2.0,2.0,3.0,1.0,,,2.0
2018,14,Esteban Ocon,Racing Point,3.0,7.0,7.0,8.0,,,6.0
2018,14,Brendon Hartley,Toro Rosso,4.0,16.0,20.0,18.0,,,19.0
2018,14,Daniel Ricciardo,Red Bull Racing,5.0,6.0,8.0,15.0,,,17.0
2018,14,Pierre Gasly,Toro Rosso,6.0,14.0,12.0,9.0,,,14.0
2018,14,Max Verstappen,Red Bull Racing,7.0,5.0,5.0,5.0,,,5.0
2018,14,Carlos Sainz,Renault,8.0,12.0,13.0,7.0,,,8.0
2018,14,Nico Hulkenberg,Renault,9.0,10.0,19.0,14.0,,,13.0
2018,14,Valtteri Bottas,Mercedes,10.0,4.0,4.0,4.0,,,3.0
2018,14,Lewis Hamilton,Mercedes,11.0,3.0,2.0,3.0,,,1.0
2018,14,Charles Leclerc,Sauber,12.0,9.0,9.0,17.0,,,11.0
2018,14,Kevin Magnussen,Haas F1 Team,13.0,13.0,6.0,11.0,,,16.0
2018,14,Fernando Alonso,McLaren,14.0,18.0,17.0,13.0,,,18.0
2018,14,Romain Grosjean,Haas F1 Team,15.0,11.0,10.0,6.0,,,20.0
2018,14,Marcus Ericsson,Sauber,16.0,,16.0,19.0,,,15.0
2018,14,Sebastian Vettel,Ferrari,17.0,1.0,1.0,2.0,,,4.0
2018,14,Sergey Sirotkin,Williams,18.0,15.0,14.0,12.0,,,10.0
2018,14,Lance Stroll,Williams,19.0,17.0,15.0,10.0,,,9.0
2018,14,Lando Norris,McLaren,20.0,,,,,,
2018,14,Stoffel Vandoorne,McLaren,,19.0,18.0,20.0,,,12.0
2018,15,Daniel Ricciardo,Red Bull Racing,1.0,4.0,5.0,6.0,,,6.0
2018,15,Max Verstappen,Red Bull Racing,2.0,3.0,6.0,2.0,,,2.0
2018,15,Sebastian Vettel,Ferrari,3.0,9.0,1.0,3.0,,,3.0
2018,15,Kimi Räikkönen,Ferrari,4.0,1.0,2.0,5.0,,,5.0
2018,15,Nico Hulkenberg,Renault,5.0,10.0,11.0,10.0,,,10.0
2018,15,Lewis Hamilton,Mercedes,6.0,2.0,3.0,1.0,,,1.0
2018,15,Carlos Sainz,Renault,7.0,6.0,13.0,12.0,,,8.0
2018,15,Valtteri Bottas,Mercedes,8.0,5.0,4.0,4.0,,,4.0
2018,15,Charles Leclerc,Sauber,9.0,14.0,16.0,13.0,,,9.0
2018,15,Romain Grosjean,Haas F1 Team,10.0,7.0,7.0,8.0,,,15.0
2018,15,Marcus Ericsson,Sauber,11.0,12.0,19.0,14.0,,,11.0
2018,15,Sergio Perez,Racing Point,12.0,11.0,9.0,7.0,,,16.0
2018,15,Kevin Magnussen,Haas F1 Team,13.0,15.0,12.0,16.0,,,18.0
2018,15,Fernando Alonso,McLaren,14.0,8.0,10.0,11.0,,,7.0
2018,15,Esteban Ocon,Racing Point,15.0,13.0,8.0,9.0,,,20.0
2018,15,Pierre Gasly,Toro Rosso,16.0,18.0,14.0,15.0,,,13.0
2018,15,Brendon Hartley,Toro Rosso,17.0,17.0,17.0,17.0,,,17.0
2018,15,Lance Stroll,Williams,18.0,19.0,20.0,20.0,,,14.0
2018,15,Sergey Sirotkin,Williams,19.0,20.0,18.0,19.0,,,19.0
2018,15,Stoffel Vandoorne,McLaren,20.0,16.0,15.0,18.0,,,12.0
2018,16,Sebastian Vettel,Ferrari,1.0,5.0,3.0,3.0,,,3.0
2018,16,Max Verstappen,Red Bull Racing,2.0,3.0,5.0,11.0,,,5.0
2018,16,Lewis Hamilton,Mercedes,3.0,1.0,1.0,2.0,,,1.0
2018,16,Valtteri Bottas,Mercedes,4.0,2.0,2.0,1.0,,,2.0
2018,16,Daniel Ricciardo,Red Bull Racing,5.0,4.0,6.0,12.0,,,6.0
2018,16,Esteban Ocon,Racing Point,6.0,9.0,8.0,6.0,,,9.0
2018,16,Kimi Räikkönen,Ferrari,7.0,6.0,4.0,4.0,,,4.0
2018,16,Kevin Magnussen,Haas F1 Team,8.0,11.0,9.0,5.0,,,8.0
2018,16,Nico Hulkenberg,Renault,9.0,14.0,14.0,15.0,,,12.0
2018,16,Antonio Giovinazzi,Sauber,10.0,,,,,,
2018,16,Romain Grosjean,Haas F1 Team,11.0,15.0,13.0,9.0,,,11.0
2018,16,Pierre Gasly,Toro Rosso,12.0,8.0,12.0,13.0,,,19.0
2018,16,Lando Norris,McLaren,13.0,,,,,,
2018,16,Charles Leclerc,Sauber,14.0,13.0,7.0,7.0,,,7.0
2018,16,Artem Markelov,Renault,15.0,,,,,,
2018,16,Stoffel Vandoorne,McLaren,16.0,18.0,19.0,19.0,,,16.0
2018,16,Nicholas Latifi,Racing Point,17.0,,,,,,
2018,16,Sergey Sirotkin,Williams,18.0,19.0,17.0,18.0,,,18.0
2018,16,Brendon Hartley,Toro Rosso,19.0,16.0,16.0,16.0,,,20.0
